mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394519,13,13101,2019,04,0,0,14417
53394519,13,13101,2019,04,0,1,6053
53394519,13,13101,2019,04,0,2,9667
53394519,13,13101,2019,04,1,0,70932
53394519,13,13101,2019,04,1,1,9786
53394519,13,13101,2019,04,1,2,38422
53394519,13,13101,2019,04,2,0,52094
53394519,13,13101,2019,04,2,1,8541
53394519,13,13101,2019,04,2,2,28837
53394528,13,13101,2019,04,0,0,28727
53394528,13,13101,2019,04,0,1,14054
53394528,13,13101,2019,04,0,2,21201
53394528,13,13101,2019,04,1,0,110613
53394528,13,13101,2019,04,1,1,20830
53394528,13,13101,2019,04,1,2,66287
53394528,13,13101,2019,04,2,0,83318
53394528,13,13101,2019,04,2,1,18572
53394528,13,13101,2019,04,2,2,51258
53394529,13,13101,2019,04,0,0,15992
53394529,13,13101,2019,04,0,1,8445
53394529,13,13101,2019,04,0,2,11790
53394529,13,13101,2019,04,1,0,65956
53394529,13,13101,2019,04,1,1,11631
53394529,13,13101,2019,04,1,2,37280
53394529,13,13101,2019,04,2,0,49301
53394529,13,13101,2019,04,2,1,10569
53394529,13,13101,2019,04,2,2,28783
53394539,13,13101,2019,04,0,0,25948
53394539,13,13101,2019,04,0,1,10434
53394539,13,13101,2019,04,0,2,17896
53394539,13,13101,2019,04,1,0,89216
53394539,13,13101,2019,04,1,1,14651
53394539,13,13101,2019,04,1,2,50053
53394539,13,13101,2019,04,2,0,68127
53394539,13,13101,2019,04,2,1,13245
53394539,13,13101,2019,04,2,2,39334
53394600,13,13101,2019,04,0,0,74599
53394600,13,13101,2019,04,0,1,28773
53394600,13,13101,2019,04,0,2,52163
53394600,13,13101,2019,04,1,0,255626
53394600,13,13101,2019,04,1,1,38668
53394600,13,13101,2019,04,1,2,157895
53394600,13,13101,2019,04,2,0,195284
53394600,13,13101,2019,04,2,1,35370
53394600,13,13101,2019,04,2,2,122651
53394610,13,13101,2019,04,0,0,19808
53394610,13,13101,2019,04,0,1,4281
53394610,13,13101,2019,04,0,2,10760
53394610,13,13101,2019,04,1,0,88368
